name,num,units,fall,spring,prereqs,coreqs
Graduate Composition Project,57796,0,1,1,[],[]
Business Process Modeling,95774,6,1,1,[],[]
Research for Writers: Writing and Arguing Cases,76380,9,0,1,[],[]
Special Topics: Principles & Practices of R&D Management,90874,6,1,0,[],[]
Directed Study,42799,3,1,1,[],[]
Current Readings in Biomedical Engineering,42798,1,1,1,[],[]
Managerial and Engineering Economics,90879,12,0,1,[],[]
Computing for the Arts with Processing,60257,9,1,1,[],[]
MSIT Second-Year Seminar,4605,6,1,0,[],[]
MSIT First-Year Seminar,4602,3,0,1,[],[]
Extramural Practicum,42792,3,0,1,[],[]
Experimental Form,51834,12,0,1,[],[]
MSIT First Year Seminar,4601,3,1,0,[],[]
Teaching in Modern Languages and Culture II,82894,9,0,1,[],[]
Language Education Planning and Policy,82895,9,0,1,[],[]
Macroeconomics,90762,12,1,0,[],[]
Research Team Apprenticeship,82892,9,1,1,[],[]
Independent Study,9851,6,1,1,[],[]
Study Abroad,88050,0,1,0,[],[]
Study Abroad,88051,0,0,1,[],[]
Dalcroze Research Paper,57642,3,0,1,[],[]
Dalcroze Research Paper,57641,3,1,0,[],[]
Advanced Visual Story,53708,12,0,1,[],[]
Welfare Policy,90767,12,0,1,[],[]
Creative Enterprises:  Management Systems and Practices,93702,6,1,0,[],[]
Special Topics: Hispanic Studies,82542,3,0,0,[],[]
Special Topics: Management of Computer and Information Systems,67306,6,0,0,[],[]
Draping 1,54814,9,1,0,[],[]
Design Drawing I,51121,9,1,0,[],[]
Design Drawing II,51122,9,0,1,[[112]],[]
Floor Hockey/Dodgeball,69143,3,0,1,[],[]
Real Analysis,21620,6,1,0,[],[]
Introduction to Lebesgue Integration,21621,6,1,0,[],[]
Complex Analysis,21623,12,0,1,[],[]
Attitudes and Persuasion,85377,9,1,0,[[524]],[]
Environment Today: Food and the Environment:,99234,1,0,1,[],[]
Chinese Calligraphy Culture and Skills,82137,9,1,0,[],[]
Human Memory,85390,9,1,0,[],[]
International Management,70430,9,1,1,[],[]
Learning-Based Methods in Vision,16824,12,1,0,[],[]
Micro Finance Development,90858,6,0,1,[],[]
Fundamentals of Joinery & Furniture Design,51451,9,1,0,[[124]],[]
Computer Graphics,15462,12,1,1,"[[15213, 18202], [15213, 21241, 21259]]",[]
"Leadership, Dialogue, and Change",76355,9,1,0,[[610]],[]
Health Psychology,85442,9,1,0,[],[]
Social Factors and Well-Being,85443,9,0,1,[],[]
Psychology of Gender,85446,9,1,0,"[[85241], [85251]]",[]
Ph.D. Microeconomics,90908,12,1,0,[],[]
Music History for Graduate Students 1,57606,9,1,0,[],[]
Statistical Theory for Social and Policy Analysis,90905,12,1,0,[],[]
Research Seminar in Machine Learning and Policy,90904,6,0,1,[],[]
Econometric Theory and Methods,90907,12,1,0,[],[]
Shape and Computation,48789,9,1,0,[],[]
Ph.D. Seminar I,90901,12,1,0,[],[]
Internship,90900,0,1,1,[],[]
Ph.D. Seminar II,90902,12,0,1,[],[]
Introduction to Clinical Psychology,85281,9,1,1,"[[85251], [85261]]",[]
Search Engines and Web Mining,11641,12,1,0,[],[]
Italian Language and Culture II,82362,9,0,1,[[226]],[]
Scalable Analytics,11643,12,0,1,[],[]
Reading and Research in Computational Neuroscience,86700,3,1,1,[],[]
Undergraduate Research in Computational Biology,2500,6,1,1,[],[]
Independent Study,17777,24,0,1,[],[]
Introduction to Conducting,57332,6,1,0,[],[]
Mathematical Analysis for Chemistry,9603,6,1,0,[],[]
Automated Lighting Technology,54771,6,1,0,[],[]
Sound Recording,57337,6,1,1,[],[]
Introduction to Chemical Kinetics,9604,6,0,1,[],[]
Algorithms for Computational Structural Biology,2721,12,0,1,[],[]
Fundamentals of Marching Band,57334,3,1,0,[],[]
Grad Entertainment Rigging,54776,3,0,1,[],[]
Acting III,57339,6,1,0,[[724]],[]
Architecture Design Studio: Composition,48200,18,1,0,[[810]],[]
"Managing Stress, Restoring Harmony",99190,6,1,0,[],[]
Architecture Design Studio: Elaboration II,48205,18,0,1,"[[48200], [48210]]",[[821]]
Graduate Scenic Fabrication and Installation,54777,6,0,1,[],[]
Creative Enterprises: Structures and Governance,93701,6,1,0,[],[]
Arts Education,93804,6,0,1,[],[]
Museum Operations,93807,6,0,1,[],[]
Matrix Theory,21242,10,1,1,[],[]
Commutative Algebra,21715,12,1,0,[],[]
Matrix Algebra with Applications,21240,10,1,1,[],[]
Matrices and Linear Transformations,21241,10,1,1,[],[]
Computational Photography,15862,12,1,0,[],[]
"Colloids, Polymers and Surfaces Laboratory I",39801,3,1,0,[],[]
Exhibitions Management,93808,6,1,0,[],[]
"Colloids, Polymers and Surfaces (CPS) Lab III: Adv. Characterization Methods",39803,3,0,1,[],[]
"Colloids, Polymers and Surfaces Laboratory II",39802,3,0,1,[],[]
COS Practicum - The Practice of Science,8998,6,0,1,[],[]
COS Practicm-Methodology,8999,6,1,0,[],[]
Advanced DP3/Mutable Landscape,60472,10,1,0,"[[60141], [62141]]",[]
Advanced DP3 Special Topic:,60473,10,1,0,[],[]
Continental Philosophy,80253,9,1,0,[],[]
Personal Nutrition,99193,6,0,1,[],[]
COS Independent Study,8996,1,1,1,[],[]
COS Graduate Reading and Research,8997,1,1,1,[],[]
Philosophy of Language,80380,9,0,1,"[[76101], [80100]]",[]
COS Internship,8995,1,1,0,[],[]
Advanced Seminar in Film Musicology,57427,9,0,1,[],[]
Data Mining,95791,6,1,1,[],[]
Percussion Ensemble,57424,3,1,1,[],[]
Repertoire Orchestra,57423,3,1,1,[],[]
Introduction to Green Chemistry,9510,9,0,1,"[[9218], [9220]]",[]
Operations Research II,21393,9,1,0,"[[15251, 21292], [21228, 21292]]",[]
Introduction to Business Management,70101,9,1,1,[],[]
Experiential Media Design,51880,12,1,0,[],[]
"Bioorganic Chemistry: Peptides, Proteins and Combinatorial Chemistry",9519,9,1,0,"[[3121, 9218], [3121, 9220]]",[]
Geology,12201,9,0,1,[],[]
Hierarchical Linear Models,36763,6,1,0,[],[]
Applications of Extreme Value Theory,36762,6,1,0,[],[]
Ethics and Leadership,45745,3,0,1,[],[]
Building Physics,48116,9,1,0,[],[]
Accelerate Leadership Feedback,45747,0,1,0,[],[]
Managing Networks & Organizations,45741,6,1,1,[],[]
Managing People and Teams,45740,6,1,0,[],[]
International Trade and International Law,70365,9,1,1,"[[73100], [73110]]",[]
Business Law,70364,9,1,1,"[[76100], [76101], [82085]]",[]
Professional Development III,27499,1,1,0,[],[]
History of Sustainable Architecture,48448,9,0,1,[[824]],[]
Jazz II,54217,2,1,0,"[[54123], [54124]]",[]
Advanced Linguistics Seminar,11821,6,0,1,[],[]
Accelerate Leadership Feedback,45748,0,1,0,[],[]
A Special Topics in Energy Systems:,18882,12,1,0,[],[]
Digital Communication and Signal Processing Systems Design,18551,12,0,1,"[[18370, 18391], [18450], [18491]]",[]
Internship,99410,3,1,1,[],[]
Synthetic Flows,48686,9,0,1,[],[]
Music-Cinema-Culture,62306,9,1,0,[],[]
Independent Study,90953,1,1,1,[],[]
Graduate Technical Direction II,54874,6,0,1,[],[]
History of German Film,79424,9,0,1,[],[]
Capstone Project,94739,24,1,0,[],[]
"Energy & Climate: History, Science, Technology, and Policy in the US 1776-2076",79354,9,0,1,[],[]
Introduction Computational Biology,3250,12,0,1,[],[]
Introduction to Computational Molecular Biology,3251,6,0,1,[],[]
Introduction to Computational Cell Biology,3252,6,0,1,[],[]
Intermediate Logic,21400,9,0,1,[],[]
History of Black American Music,79357,6,1,0,[],[]
Architecture Design Studio: Critical Practice Studio,48413,18,0,1,[],[]
Digital Integrated Circuits 1,18422,12,0,1,[],[]
Directed Research,11910,1,1,1,[],[]
Analog Integrated Circuits I,18421,12,0,1,[],[]
Ear Training,54505,1,1,1,[],[]
Physical Technical Systems II,90720,12,0,1,[],[]
Vocal Coaching,57523,0,1,1,[],[]
Advanced System Design,54509,9,1,1,"[[54166], [54666]]",[]
Beginning Swimming,69150,3,1,0,[],[]
Early Christianity,79350,9,0,1,[],[]
Operating System Practicum,15612,9,1,0,[],[]
Engineering Distributed Systems,15610,12,0,1,[[541]],[]
Compiler Design,15611,12,1,0,[],[]
Hot Compilation,15617,12,0,1,[],[]
Bug Catching,15614,9,0,1,[],[]
Database Applications,15615,12,0,1,[],[]
Avoiding Software Project Failures,96709,12,0,1,[],[]
Parallel Computer Architecture and Programming,15618,12,0,1,[],[]
Cloud Computing,15619,12,1,1,[],[]
Non Linear Control,18776,12,1,0,[],[]
Renaissance Studies,76346,9,0,1,[[610]],[]
"Student Taught Courses (StuCo): Yer a Wizard, Scotty: A Harry Potter Analysis",98247,3,0,1,[],[]
Genetics,3330,9,1,0,"[[3231], [3232]]",[]
"Film, Philosophy, and  Cognitive Science:",85394,9,0,1,[],[]
Tap III,54323,2,1,0,"[[54223], [54224]]",[]
Directing III: Forms and Formats,54322,9,1,0,[],[]
Actor Dance III,54325,2,1,0,"[[54201], [54202]]",[]
Tap III,54324,2,0,1,[[432]],[]
Junior Auditioning,54327,2,1,1,[],[]
Actor Dance III,54326,2,0,1,"[[54201], [54202]]",[]
Chamber Music,57935,3,1,1,[],[]
Advanced Analytical Techniques,57934,9,1,1,[],[]
Chamber Ensemble,57931,3,1,1,[],[]
Baroque Ensemble,57930,3,1,1,[],[]
Sonatas,57933,3,1,1,[],[]
Chamber Music Guitar,57932,6,1,1,[],[]
Cognitive Neuroscience,85765,9,1,0,[],[]
"Sustainable Innovations: Ideas, Policies & Technologies to Make a Better Planet",79359,9,1,0,[],[]
Independent Study,48599,3,1,1,[],[]
Consulting Communication,94803,6,1,0,[],[]
Dalcroze Eurhythmics Workshop,57939,3,1,1,[],[]
Dalcroze Eurhythmics Workshop,57938,3,1,1,[],[]
Privacy in the Digital Age,94806,6,1,1,[],[]
Topics in Rhetoric,76740,9,0,1,[],[]
An Introduction to Computational Complexity Theory,15855,12,1,0,[],[]
Computational Molecular Biology and Genomics,15856,12,1,0,[],[]
Intro to Probability Modeling,36610,9,0,1,[],[]
Algorithms in the Real World,15853,12,0,1,[],[]
ECE CO-OP,18390,0,1,1,[],[]
Independent Study,95906,6,1,1,[],[]
Special Topics in Theory: Machine Learning Theory,15859,12,1,0,[],[]
Global Technology Consulting Groundwork,67319,3,0,1,[],[]
Current Topics In Privacy Seminar,8602,3,1,1,[],[]
Java and J2EE Programming,8600,12,1,0,[],[]
Database Design and Implementation,67311,9,1,0,[[727]],[]
Human Computer Interface Design and Testing,67316,9,0,1,[],[]
Foundations of Privacy,8604,12,1,0,[],[]
Engineering Privacy in Software,8605,12,0,1,[],[]
Islam on the Main Street in the West since the 18th Century::,79294,9,0,1,[],[]
Race Relations in the Atlantic World,79295,9,1,0,[],[]
Dilemmas and Controversies in Anthropology,79297,9,1,0,[],[]
Fundamental Electrical Power Systems,18372,12,1,0,[],[]
Fundamentals of Control,18370,12,1,0,"[[18290], [18396]]",[]
Electronic Media Studio I,60110,10,0,1,[],[]
"Productivity, Health and the Quality of Buildings",48729,9,1,0,[[830]],[]
Piano Pedagogy IV,57976,6,0,1,[],[]
Mobile Phones & Social Media in Development & Human Rights: A Critical Appraisal,79298,6,0,1,[],[]
Trafficking Persons: Children in a Global Context,79299,9,1,0,[],[]
Field Theory II,33771,12,0,1,[],[]
Elementary French II Online,82104,12,1,1,"[[82101], [82103]]",[]
RF Circuits and Antennas for Wireless Systems,18513,12,1,0,"[[18300, 18320], [18402]]",[]
Vocal Methods,57807,3,0,1,[],[]
Silicon Valley Residency,14699,0,1,1,[],[]
Sensor Systems Design,18510,12,0,1,"[[18300, 18310], [18300, 18320], [18300, 18391], [18310, 18320], [18310, 18391], [18320, 18391], [18401], [18402], [18419]]",[]
Product Management in IT,95821,6,0,1,[],[]
Introduction to Lighting Design,54252,6,0,1,[[423]],[]
Independent Study,95905,1,1,1,[],[]
Usable Privacy and Security,8734,12,0,1,[],[]
Law of Computer Technology,8732,12,1,0,[],[]
"Privacy, Policy, Law and Technology",8733,12,1,0,[],[]
Independent Study,8730,6,1,1,[],[]
Information Security & Privacy,8731,12,1,0,[],[]
Methods of Policy Analysis,90730,12,1,0,[],[]
IT Consulting,95822,12,0,1,[],[]
Directing: Production II,54257,6,1,0,[],[]
Senior Thesis II,79504,9,0,1,[],[]
Undergraduate Internship,79505,3,1,0,[],[]
Introduction to Film Studies,76239,9,1,0,[[610]],[]
Dramaturgy 4: New Play Dramaturgy,54256,9,0,1,"[[54109], [54184]]",[]
Directed Study in Literary and Cultural Studies,76801,3,1,1,[],[]
Senior Thesis I,79503,9,1,1,[],[]
HCI Project,5671,15,0,1,[],[]
HCI Project II,5672,48,1,0,[],[]
Cognitive Development,85723,9,1,0,[],[]
Soft Materials,27718,12,1,0,[],[]
Product and Brand Management,70485,9,1,1,[[38]],[]
Rhetoric and Narrative,76358,9,0,1,[],[]
Guided Research,82789,3,1,1,[],[]
Special Topics:,6500,9,1,0,[],[]
In Search of Mind: The History of Psychology,85780,9,0,1,[],[]
Student Taught Courses (StuCo): Vegan Baking,98221,3,1,0,[],[]
Advertising and Marketing Communications,70483,9,1,0,[[38]],[]
Marketing Research,70481,9,0,1,"[[70208], [70381], [73360]]",[]
International Marketing,70480,9,1,1,[],[[38]]
"Juvenile Delinquency and Film: From ""Blackboard Jungle"" to ""The Wire""",79340,6,0,1,[],[]
Advanced Placement,90898,1,1,1,[],[]
Special Topics in Sound Design,54397,9,1,0,"[[54267], [54268]]",[]
Legal Topics: Introduction to Intellectual Property Law,66221,9,1,0,[],[]
Advanced ETB: 2D Animation,60426,10,0,1,[],[]
The Holocaust in Historical Perspective,79349,9,0,1,[],[]
Studiocraft,54170,8,0,1,[],[]
Ph.D. Readings and Research,90920,5,1,0,[],[]
Student Taught Courses (StuCo): Beekeeping 101,98225,3,1,1,[],[]
Financial Analysis,90724,12,0,1,[],[]
Document Design,76391,12,1,0,"[[76270], [76271]]",[]
Internship I,73111,1,1,0,[],[]
Rhetoric and Public Policy,76392,9,0,1,[],[]
Internship II,73112,3,1,0,[],[]
Machine Learning in Practice,11344,12,1,1,[],[]
Undergrad Independent Study,11345,3,0,1,[],[]
Ph.D. Readings and Research,90925,1,1,1,[],[]
Special Topics Russian,82399,3,1,0,[],[]
Russia's Demons,82397,9,1,0,[],[]
The Faust Legend at Home and Abroad,82396,9,0,1,[],[]
Graduate Reading and Research,88998,0,0,1,[],[]
Conservatory Hour,54175,1,1,0,[],[]
Special Topics:Advanced Multiscale Modeling & Computation Engineering Materials,24756,12,1,0,[],[]
Finite Element Method in Mechanics I,24755,12,1,0,[],[]
Computer Music Systems and Information Processing,15323,9,0,1,[[512]],[]
Introduction to Solid Mechanics I,24751,12,1,0,[],[[470]]
Research Methods for Experimental Computer Science,15321,9,1,0,[[521]],[]
Russian Studies Topics:,82400,6,1,0,[],[]
Money and Politics,90726,6,1,0,[],[]
"Globalization of Classical Music USA  Turkey, Japan",57916,9,1,0,[],[]
Senior Thesis,85602,9,1,1,[],[]
Strategic Human Resource Management,91807,6,0,1,[],[]
Issues of Practice,48381,6,0,1,[],[]
Undergraduate Research - Senior,19620,0,1,0,[],[]
Climate Science and Policy,19626,12,0,1,[],[]
Student Taught Course (StuCo): Crocheting at Carnegie Mellon,98149,3,1,0,[],[]
Research Training: Social and Decision Sciences,88198,6,1,1,[],[]
Behavioral Economics and Public Policy,88665,12,0,1,[],[]
Fundamental Subjects: Content Knowledge,57634,0,1,1,[],[]
Behavioral Economics in the Wild,88667,12,0,1,[],[]
Introduction to CAD and CAE Tools,24688,12,1,0,"[[24231], [24262]]",[[435]]
20th Century Literary and Cultural Studies:,76834,12,0,1,[],[]
Elective Studio (Alexander Technique I),57143,3,1,1,[],[]
Independent Study in Information Systems,67390,1,1,1,[],[]
Studies in Chinese Traditions:,82434,9,0,1,[[233]],[]
Sustainable Design Synthesis,48732,9,1,0,[],[]
Elective Studio (Jazz Improv),57144,3,1,1,[],[]
Film and Media Studies:,76839,12,1,0,[],[]
Major Studio (Euphonium/Baritone),57718,9,1,1,[],[]
PSST: Total Comprehensive,57633,0,1,1,[],[]
Molecular Simulation of Materials,24623,12,0,1,[],[]
Stuff That's Optional: People at Play,51357,9,1,0,[],[]
Special Topics: Aerosol Measurement Technology,24620,12,1,0,[],[]
Special Topics in Air Quality Engineering,24626,12,1,0,[],[]
Mapping and Diagraming,51335,9,0,1,[[130]],[]
"Photography, Community & Change",51334,9,0,1,"[[51301], [51311]]",[]
Special Topics: Direct Solar and Themal Energy Conversion,24629,12,1,0,[],[]
Human Factors,5813,9,1,0,[],[]
Perception,5814,9,1,0,[],[]
EPP Project Management,19752,12,1,1,[],[]
Air Quality Engineering,19751,12,1,0,[],[]
Project Research,19750,0,1,1,[],[]
Mechanics of Manipulation,16741,12,1,0,[],[]
Introduction to Real-Time Software and Systems,17619,12,0,1,[],[]
History Proficiency II Test,57788,0,1,1,[],[]
Theory Proficiency Test,57789,0,1,1,[],[]
Dynamic Optimization,16745,12,0,1,[],[]
Design Thesis II,51802,21,0,1,[],[]
Design Thesis,51801,21,1,0,[],[]
Stagecraft II,57457,3,1,0,[],[]
Risk Management for Software Intensive Projects,17610,6,1,1,[],[]
Basic Interaction Design,51421,9,1,0,[],[]
Black American Music Seminar,57780,6,1,1,[],[]
Collaborative Piano I,57781,3,1,1,[],[]
Collaborative Piano VI,57786,3,1,1,[],[]
Software Process Definition,17615,9,0,1,[],[]
Collaborative Piano IV,57784,3,1,1,[],[]
Collaborative Piano V,57785,3,1,1,[],[]
Study Aboad,12051,0,0,1,[],[]
Study Abroad,12050,0,1,0,[],[]
Policy in a Global Economy,90860,6,1,0,[],[]
Health Policy,90861,6,1,0,[],[]
Political Economy of Inequality and Redistribution,73331,9,1,0,"[[21120, 21256, 73100, 73230], [21120, 21259, 73100, 73230]]",[]
Pieces 2.0: Social Innovation: Desis Lab,51423,9,1,0,[],[]
Washington Semester,88061,36,0,1,[],[]
Computer Graphics,15662,12,1,1,[],[]
Strategic Use of Digital Information in Enterprise,4611,12,1,0,[],[]
Innovation Managenment and Business Strategy,4612,12,0,1,[],[]
Outreach,57453,9,0,1,[],[]
Financial Analysis for Managers,91804,12,0,1,[],[]
Concept Studio I,60101,10,1,0,[],[]
Special Topics: Ecological Footprints,48738,6,1,0,[],[]
Architectural History of Mexico & Guatemala,48348,9,1,0,[[824]],[]
Special Topics: Japanese,82571,3,1,0,[],[]
Independent Study,12690,3,1,1,[],[]
How to Analyze Your Own Genome,2223,9,1,0,[[312]],[]
Entrepreneurship in Creative Industries,70425,9,0,1,[],[]
Phase Relations and Diagrams (Minor Option),27227,9,0,1,[],[]
Beginning Golf,69134,3,1,1,[],[]
Special Topics in Machine Learning and Policy,10831,6,0,0,[],[]
Research Seminar in Machine Learning and Policy,10830,6,0,1,[],[]
Structure of the Japanese Language,82373,9,1,0,[],[[227]]
Advanced Japanese II,82372,9,0,1,[[237]],[]
Management Science I: Optimization & Multicriteria Methods,90722,6,0,1,[],[]
History of American Urban Life,79343,9,0,1,[],[]
Independent Study,95918,1,1,1,[],[]
General Topology,21651,12,1,0,[],[]
Constraint Programming,47862,6,1,0,[],[]
Formal Methods Seminar,80617,6,0,1,[],[]
Analysis of Survey Data,94830,6,0,1,[],[]
Database Management,95703,12,1,1,[],[]
Current Topics in Computational Biology,2701,3,1,1,[],[]
Auditory Perception: Sense of Sound,85385,9,0,1,[],[]
Convex Analysis,47860,6,0,1,[],[]
Soccer Skills,69135,3,0,1,[],[]
Mobile Robot Programming Laboratory,16362,12,1,0,[],[]
18th Century Literary and Cultural Studies:,76812,12,1,0,[],[]
Business of Music,57458,6,1,0,[],[]
Why Typography Matters in New Media,53886,12,0,1,[],[]
Professional Writing Elective,76710,9,1,0,[],[]
Improvisational Acting II,53712,6,0,1,[],[]
Statistical Discovery and Learning,96733,12,1,0,[],[]
Comprehensive Review (Music Ed),57800,0,1,1,[],[]
Social Norms and Economics,88787,12,1,0,[],[]
In Search of Mind: The History of Psychology,85380,9,0,1,[],[]
Independent Study,95916,1,1,1,[],[]
MRSD Business Seminar 1,16697,9,1,0,[],[]
Performance Management,94837,6,0,1,[],[]
Ph.D. Seminar III,90918,12,1,0,[],[]
CIT Undergraduate Projects,39250,0,1,1,[],[]
MRSD Business Seminar,16698,9,0,1,[],[]
Graduate Camera Lab,54718,6,0,1,[],[]
Philosophy of Biology,80623,12,1,0,[],[]
CIT Undergraduate Projects,39251,0,0,1,[],[]
Orchestration I,57257,6,1,0,"[[57150], [57153], [57156]]",[]
Urban Policy,90734,6,0,1,[],[]
Topics in Applied Second Language Acquistion:,82732,9,0,1,[],[]
Introduction to Raster GIS,94838,6,0,1,[],[]
BXA Internship:,52590,9,1,1,[],[]
Sponsorships and Grants: Strategies and Practices,93827,6,0,1,[],[]
Cell and Systems Modeling,2530,12,1,0,[],[]
Independent Study,95912,1,1,1,[],[]
20th-21st Century Techniques,57258,6,0,1,[[715]],[]
Fund Raising Fundamentals for Arts Managers,93826,6,0,1,[],[]
Computational Methods for biological Modeling and Simulation,2712,12,1,0,[],[]
Algorithms and Data Structures for Scientists,2713,12,0,1,[],[]
Computational Genomics,2710,12,0,1,[],[]
Computational Molecular Biology and Genomics,2711,12,1,0,[],[]
Cognitive Brain Imaging:,85729,9,0,1,[],[]
Algorithms in Nature,2717,12,1,0,[],[]
String Algorithms,2714,12,1,0,[],[]
Advanced Seminar in Film Musicology,62427,9,0,1,[],[]
Ultimate Frisbee,69137,3,1,0,[],[]
Aesthetics and Critical Judgement,62420,6,1,0,[],[]
Second Language Acquisition: Theories and Research,82783,9,1,0,[],[]
Introduction to Mathematical Finance,21270,9,0,1,"[[21112], [21120]]",[]
Planing & Managing Performing Arts,93812,6,0,1,[],[]
Arts Facilities Management,93813,6,1,0,[],[]
Performing Arts Organizations: Business Models and Management Issues,93811,6,1,0,[],[]
Student Taught Courses (StuCo): History of Classic Rock,98223,3,1,1,[],[]
Discourse and Identity,76490,9,0,1,[],[]
CPS Seminar,39810,1,1,1,[],[]
Advanced CP/SIS: Special Topic::,60441,10,0,0,[],[]
Advanced SIS: Special Topic::,60440,10,1,0,[],[]
Advanced CP: Temporary Art in Public Space:,60448,10,1,0,[],[]
Advanced Microbiology,3791,12,0,1,[],[]
History of the American Novel,76817,12,1,0,[],[]
Computational Chemistry,9560,12,0,1,"[[9344], [9345], [15110]]",[]
MSIT Research Project,4980,3,1,1,[],[]
French Literature and Repertoire,57432,3,0,1,[],[]
Musical Theatre Literature and Repertoire,57433,3,1,0,[],[]
Musical Theatre Literature and Repertoire,57434,3,0,1,[[743]],[]
German Literature and Repertoire,57435,3,0,1,[],[]
Graduate Surgery for Engineers,42760,3,0,1,[],[]
Literature and Repertoire,57437,3,1,1,[],[]
Introduction to Computer Application in Civil & Environmental Engineering,12271,9,0,1,"[[21120], [33106]]",[]
Seminar on Ethical Theory,80530,9,1,1,[],[]
Architecture Design Studio: Foundation I,48100,12,1,0,[],[]
Urban Design Methods,48453,6,1,0,[[830]],[[850]]
Advanced Undergraduate Research,36595,0,0,1,[],[]
Statistical Decision Making,45752,6,0,1,[],[]
Architecture Design Studio: Foundation II,48105,12,0,1,[[810]],[]
Probability and Statistics,45750,6,1,0,[],[]
Optimization,45751,6,1,1,[],[]
Ballet II,54206,3,0,1,[[420]],[]
Movement II,54207,3,1,0,"[[54107], [54108]]",[]
Voice and Speech II,54204,6,0,1,"[[54103], [54104], [54203]]",[]
Ballet II,54205,3,1,0,"[[54123], [54124]]",[]
Acting II,54202,12,0,1,[[420]],[]
Voice and Speech II,54203,5,1,0,"[[54103], [54104]]",[]
Dramaturgy Forum,54200,1,1,0,[],[]
Acting II,54201,12,1,0,"[[54101], [54102]]",[]
Grad Theater Management,54775,6,0,1,[],[]
Independent Study,95925,1,1,1,[],[]
Introduction to Research,9700,3,1,0,[],[]
Quantum Chemistry I,9701,12,1,0,[],[]
Nanoparticles,9707,12,1,0,[],[]
Masters Chemical Engineering Project,6600,1,1,1,[],[]
Technology-Based Entrepreneurship,70423,9,0,1,[],[]
Stanley Kubrick and his Films,54595,6,0,1,[],[]
Selected Topics in Analysis:,21470,9,0,1,[],[]
Internet Technologies,95733,6,1,1,[],[]
Cell Biology,3240,9,0,1,"[[3121, 3231], [3121, 3232]]",[]
Introduction to Database Management,90728,6,1,0,[],[]
Introduction to Dynamical Systems,21476,9,1,0,"[[21241, 21261], [21242, 21261]]",[]
Public Finance,90736,12,1,1,[],[]
Materials and Assembly,48215,9,0,1,"[[12235], [48210]]",[]
Costumes in Practice,54510,6,1,0,[],[]
Millinery I,54511,9,1,0,[],[]
Civil Environmental Engineering Projects,12301,9,1,0,"[[12212], [12271]]",[]
Director's Colloquium,54517,1,1,0,[],[]
Semiconductor Device Applications - Optoelectronics and Nanoelectronics,18419,12,1,0,[[831]],[]
Electric Energy Processing: Fundamentals and Applications,18418,12,0,1,[[822]],[]
Regression Analysis,70208,9,0,1,"[[21112, 36201, 73100], [21112, 36201, 73110], [21112, 36220, 73100], [21112, 36220, 73110], [21112, 36247, 73100], [21112, 36247, 73110], [21112, 36310, 73100], [21112, 36310, 73110], [21112, 70207, 73100], [21112, 70207, 73110], [21116, 36201, 73100], [21116, 36201, 73110], [21116, 36220, 73100], [21116, 36220, 73110], [21116, 36247, 73100], [21116, 36247, 73110], [21116, 36310, 73100], [21116, 36310, 73110], [21116, 70207, 73100], [21116, 70207, 73110], [21120, 36201, 73100], [21120, 36201, 73110], [21120, 36220, 73100], [21120, 36220, 73110], [21120, 36247, 73100], [21120, 36247, 73110], [21120, 36310, 73100], [21120, 36310, 73110], [21120, 70207, 73100], [21120, 70207, 73110], [21121, 36201, 73100], [21121, 36201, 73110], [21121, 36220, 73100], [21121, 36220, 73110], [21121, 36247, 73100], [21121, 36247, 73110], [21121, 36310, 73100], [21121, 36310, 73110], [21121, 70207, 73100], [21121, 70207, 73110]]",[]
Director's Colloquium,54518,1,0,1,[],[]
Acting for the Camera,54519,6,1,0,[[430]],[]
Russia's Demons,79427,9,1,0,[],[]
Computational Techniques in Engineering,18411,12,0,1,"[[15100], [21120], [21122], [21259], [21260]]",[]
Systems Synthesis I,90739,12,1,1,[],[]
M.S. Teaching Assistantship,18984,0,0,1,[],[]
M.S. Graduate Project,18980,0,1,1,[],[]
M.S. Teaching Assistantship,18983,0,1,0,[],[]
Independent Study,95910,1,1,1,[],[]
Exchange Independent Study,60599,10,1,1,[],[]
Labor Economic Policy,90795,6,1,0,[],[]
Special Topics: Foundations of Cyber-Physical Systems,15624,12,1,0,[],[]
Corporate Finance,70495,9,0,1,"[[21370], [70391]]",[]
Stage Management Seminar,54339,3,1,0,[],[]
Special Topic's in HCI:,5499,9,0,0,[],[]
Scenic Design: Boot Camp,54332,9,0,1,[[425]],[]
Introduction to Stage Management,54330,6,0,1,[],[]
Scenic Design: Explorations,54331,9,1,0,[],[]
Undergraduate Colloquium for Juniors,3302,1,0,1,[],[]
Scenic Painting 2,54337,4,1,0,"[[54237], [54238]]",[]
Production Resource Management,54334,6,0,1,[],[]
Undergraduate Colloquium for Juniors,3301,1,1,0,[],[]
Chamber Music (String Quartet),57926,3,1,1,[],[]
Advanced Seminar in Film Musicology,57927,9,0,1,[],[]
The Symphonies of Mahler,57925,9,1,0,[],[]
Repertoire Orchestra,57923,3,1,1,[],[]
Independent Study,90943,1,1,1,[],[]
Attitudes and Persuasion,85777,9,1,0,[],[]
Basic Harmony I,57149,9,1,0,[],[]
"Interdisciplinary Studies in Listening, Culture, and Technology",76752,12,1,0,[],[]
Architecture Lighting Design,48587,9,0,1,[[810]],[]
MSCF Trading Competition,46980,0,1,0,[],[]
Chamber Music,57928,3,1,1,[],[]
Chamber Music,57929,3,1,1,[],[]
Mobile and Pervasive Computing,15821,12,1,0,[],[]
